benchmark,run,objective_a,objective_b,n_solutions,spearman_rho
CyberShake_1000,1,makespan,latency,126,0.3597801861643218
CyberShake_1000,1,makespan,cost,126,-0.9068460853321667
CyberShake_1000,1,makespan,energy,126,-0.8748848887139892
CyberShake_1000,1,latency,cost,126,-0.5620007499062617
CyberShake_1000,1,latency,energy,126,-0.5662422197225347
CyberShake_1000,1,cost,energy,126,0.9400554930633671
CyberShake_1000,2,makespan,latency,134,0.35911963879831754
CyberShake_1000,2,makespan,cost,134,-0.8864635300491063
CyberShake_1000,2,makespan,energy,134,-0.7890232908437547
CyberShake_1000,2,latency,cost,134,-0.6129926807067421
CyberShake_1000,2,latency,energy,134,-0.6426389356475767
CyberShake_1000,2,cost,energy,134,0.9133904412773228
CyberShake_1000,3,makespan,latency,128,0.396363402268298
CyberShake_1000,3,makespan,cost,128,-0.8346006108759921
CyberShake_1000,3,makespan,energy,128,-0.8476563114791122
CyberShake_1000,3,latency,cost,128,-0.72534219923091
CyberShake_1000,3,latency,energy,128,-0.6735831349569675
CyberShake_1000,3,cost,energy,128,0.9231482329243728
CyberShake_1000,4,makespan,latency,126,0.5880443765201613
CyberShake_1000,4,makespan,cost,126,-0.908857756068148
CyberShake_1000,4,makespan,energy,126,-0.9069859872315971
CyberShake_1000,4,latency,cost,126,-0.7423862017247844
CyberShake_1000,4,latency,energy,126,-0.7415943007124111
CyberShake_1000,4,cost,energy,126,0.9334383202099739
CyberShake_1000,5,makespan,latency,117,0.37044752074890486
CyberShake_1000,5,makespan,cost,117,-0.8434407957648689
CyberShake_1000,5,makespan,energy,117,-0.8114905494315422
CyberShake_1000,5,latency,cost,117,-0.6911762502060573
CyberShake_1000,5,latency,energy,117,-0.7385844235639676
CyberShake_1000,5,cost,energy,117,0.9404157113099251
CyberShake_1000,6,makespan,latency,131,0.6450238750460041
CyberShake_1000,6,makespan,cost,131,-0.9190303716211982
CyberShake_1000,6,makespan,energy,131,-0.8840812578936575
CyberShake_1000,6,latency,cost,131,-0.7960977953344366
CyberShake_1000,6,latency,energy,131,-0.8319970106229647
