benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent,scale
Montage_25,NSGA-III,hv,0.8328143027922392,0.028446085143905522,0.7876894817475262,0.014213042047577482,5.728757599327277,small
Montage_25,NSGA-III,igd,0.0758651744542656,0.0045578495372046455,0.10009780153648702,0.015318121093096703,24.208950356805083,small
Montage_25,NSGA-III,spacing,0.06104227189833793,0.0016172077396048716,0.04819922776988651,0.010330491565008594,-26.64574666998167,small
Montage_25,NSGA-III,epsilon,0.1134781327124982,0.015563885477523303,0.17230380519860772,0.05858876868318156,34.14066939398322,small
Montage_25,NSGA-III,coverage,0.095,0.016499158227686116,0.19918929110105582,0.02333025767489553,-52.30667297681022,small
Montage_25,NSGA-III,time,2.9936045499998727,0.058685973751537265,2.7899350500001674,0.07594560175212563,-7.300152023241297,small
Montage_25,NSGA-III,makespan_best,2282.780248461538,0.0,2958.1835833158057,143.94782475927977,22.831690996581525,small
Montage_25,NSGA-III,latency_best,11159.997890769233,0.0,12984.681054070013,142.7763992720835,14.052583622982704,small
Montage_25,NSGA-III,cost_best,1399.7036861538459,350.8099294193548,1783.7711269230772,121.7131273269495,21.531206272619173,small
Montage_25,NSGA-III,energy_best,9697835.146538462,75735.04112629611,10112006.492692307,331975.26512182364,4.095837423098525,small
Montage_25,NSGA-II,hv,0.8328143027922392,0.028446085143905522,0.7714724177197769,0.00884768842021284,7.951273909930452,small
Montage_25,NSGA-II,igd,0.0758651744542656,0.0045578495372046455,0.09259641794883879,0.0014838158154005397,18.068996474374956,small
Montage_25,NSGA-II,spacing,0.06104227189833793,0.0016172077396048716,0.050589158416858945,0.0033399841706700743,-20.662754251305078,small
Montage_25,NSGA-II,epsilon,0.1134781327124982,0.015563885477523303,0.15478556718033928,0.01830045691801146,26.68687734930361,small
Montage_25,NSGA-II,coverage,0.21936396936396935,0.0020014677456162595,0.07296380090497738,0.021597152819046138,200.64767274069592,small
Montage_25,NSGA-II,time,2.9936045499998727,0.058685973751537265,2.8170689999997194,0.09864012318343172,-6.26663919130738,small
Montage_25,NSGA-II,makespan_best,2282.780248461538,0.0,2980.4301144561296,71.25283785452709,23.407690809817865,small
Montage_25,NSGA-II,latency_best,11159.997890769233,0.0,12793.442101096753,180.8064659236962,12.76782430732608,small
Montage_25,NSGA-II,cost_best,1399.7036861538459,350.8099294193548,1068.1770884615385,348.96135103986495,-31.036669974806763,small
Montage_25,NSGA-II,energy_best,9697835.146538462,75735.04112629611,10023989.415384617,108292.58764627982,3.253737163225444,small
Montage_25,MOEA/D,hv,0.8328143027922392,0.028446085143905522,0.5338314895055039,0.060864515245862276,56.00696458796158,small
Montage_25,MOEA/D,igd,0.0758651744542656,0.0045578495372046455,0.24001821064750734,0.0065282812406514115,68.39190899323809,small
Montage_25,MOEA/D,spacing,0.06104227189833793,0.0016172077396048716,0.1943845381761773,0.05311862676906734,68.59715671263254,small
Montage_25,MOEA/D,epsilon,0.1134781327124982,0.015563885477523303,0.35315576143078736,0.04579459898489602,67.86739872153042,small
Montage_25,MOEA/D,coverage,0.29743589743589743,0.23207607177404638,0.0,0.0,0.0,small
Montage_25,MOEA/D,time,2.9936045499998727,0.058685973751537265,2.693090449999545,0.0339008911213443,-11.158708018899942,small
Montage_25,MOEA/D,makespan_best,2282.780248461538,0.0,3634.812741395733,255.65224846349088,37.196757828438436,small
Montage_25,MOEA/D,latency_best,11159.997890769233,0.0,14628.313529370495,131.12094722160245,23.709606932047446,small
Montage_25,MOEA/D,cost_best,1399.7036861538459,350.8099294193548,3185.9982423076917,306.6202908693046,56.067028927799775,small
Montage_25,MOEA/D,energy_best,9697835.146538462,75735.04112629611,9207407.461538464,6168.146845120285,-5.326447070455305,small
Montage_25,QL-NSGA-III,hv,0.8328143027922392,0.028446085143905522,0.80928114043416,0.008911756279480291,2.907909400366633,small
Montage_25,QL-NSGA-III,igd,0.0758651744542656,0.0045578495372046455,0.0920574276149769,0.009917364964901771,17.589295704018742,small
Montage_25,QL-NSGA-III,spacing,0.06104227189833793,0.0016172077396048716,0.07315698768333577,0.005201449512887422,16.559888766110884,small
Montage_25,QL-NSGA-III,epsilon,0.1134781327124982,0.015563885477523303,0.15151420573222985,0.06446794133748307,25.103964896171238,small
Montage_25,QL-NSGA-III,coverage,0.11143726897151554,0.021986577453723916,0.1842948717948718,0.024930046772602646,-39.53316883632548,small
Montage_25,QL-NSGA-III,time,2.9936045499998727,0.058685973751537265,2.872891250000066,0.005878815067999511,-4.201805411179551,small
Montage_25,QL-NSGA-III,makespan_best,2282.780248461538,0.0,2987.368535063101,59.60215240490388,23.585583041788315,small
Montage_25,QL-NSGA-III,latency_best,11159.997890769233,0.0,12970.0209629372,406.3147313214683,13.955436751723399,small
Montage_25,QL-NSGA-III,cost_best,1399.7036861538459,350.8099294193548,1754.9673161538465,546.0990860179627,20.243318877219306,small
Montage_25,QL-NSGA-III,energy_best,9697835.146538462,75735.04112629611,9861736.558076926,129905.34503215631,1.6619934082930368,small
Montage_50,NSGA-III,hv,0.5570680060089728,0.017242398936317804,0.580900109877183,0.02751115026204774,-4.102616519258179,small
Montage_50,NSGA-III,igd,0.12675752717957828,0.007447371305165928,0.12460934011176619,0.006022656263690885,-1.7239374399104481,small
Montage_50,NSGA-III,spacing,0.06492745229539436,0.004904214915856506,0.0645429767299702,0.0008154976817775193,-0.595689236696813,small
Montage_50,NSGA-III,epsilon,0.2861072221694565,0.02943619378387338,0.25500893741594466,0.011039225993565252,-12.194978367674809,small
Montage_50,NSGA-III,coverage,0.15434565434565434,0.1080792582632785,0.3798941798941799,0.0389095794938629,-59.37140853575394,small
Montage_50,NSGA-III,time,3.0289381499997035,0.042520522783629236,2.8375851499999953,0.002135250347537979,-6.743515696778594,small
Montage_50,NSGA-III,makespan_best,4545.428973021334,22.93363238781804,4621.244989313402,154.20730186846902,1.640597208488008,small
Montage_50,NSGA-III,latency_best,33460.55898427584,0.0,36949.55821805739,1040.873458820736,9.44260067519958,small
Montage_50,NSGA-III,cost_best,6125.704410769229,1524.6407465647142,6640.824029230769,70.69023076625574,7.756862946437812,small
Montage_50,NSGA-III,energy_best,24100917.10769231,275706.3732675669,23809643.196153853,103396.0091686295,-1.223344294321501,small
Montage_50,NSGA-II,hv,0.5570680060089728,0.017242398936317804,0.5617922313395919,0.023343286662881033,-0.8409203735968747,small
Montage_50,NSGA-II,igd,0.12675752717957828,0.007447371305165928,0.12022948638800804,0.011883520424020824,-5.429650402483429,small
Montage_50,NSGA-II,spacing,0.06492745229539436,0.004904214915856506,0.06180512513436286,0.00010284584774007902,-5.051890363855162,small
Montage_50,NSGA-II,epsilon,0.2861072221694565,0.02943619378387338,0.2236930642982805,0.055525716207087746,-27.90169559658348,small
Montage_50,NSGA-II,coverage,0.19871794871794873,0.11785113019775792,0.2529100529100529,0.06135741381724538,-21.4274219504345,small
Montage_50,NSGA-II,time,3.0289381499997035,0.042520522783629236,2.8657781999995677,0.03946235666565523,-5.693390716705164,small
Montage_50,NSGA-II,makespan_best,4545.428973021334,22.93363238781804,4704.168508242187,161.86896371292357,3.3744440689725557,small
Montage_50,NSGA-II,latency_best,33460.55898427584,0.0,37349.2829576863,276.69384321737186,10.411776787833027,small
Montage_50,NSGA-II,cost_best,6125.704410769229,1524.6407465647142,6480.332455384614,172.15461458359124,5.472374250193273,small
Montage_50,NSGA-II,energy_best,24100917.10769231,275706.3732675669,23516331.30038462,520067.02873818023,-2.485871626149991,small
Montage_50,MOEA/D,hv,0.5570680060089728,0.017242398936317804,0.37125993477205554,0.012667257791742392,50.04797281748131,small
Montage_50,MOEA/D,igd,0.12675752717957828,0.007447371305165928,0.25714074202320303,0.0692557096218418,50.70500062252277,small
Montage_50,MOEA/D,spacing,0.06492745229539436,0.004904214915856506,0.11871918673132224,0.016549886072660072,45.31005974431575,small
Montage_50,MOEA/D,epsilon,0.2861072221694565,0.02943619378387338,0.4124228276462207,0.019323551661184844,30.627694930872895,small
Montage_50,MOEA/D,coverage,0.09999999999999999,0.09428090415820632,0.009523809523809525,0.013468700594029479,949.9999999999998,small
Montage_50,MOEA/D,time,3.0289381499997035,0.042520522783629236,2.895372949999455,0.14193959479711443,-4.613056842997495,small
Montage_50,MOEA/D,makespan_best,4545.428973021334,22.93363238781804,6524.838986431791,94.2994768780318,30.336534242861497,small
Montage_50,MOEA/D,latency_best,33460.55898427584,0.0,43053.91723962741,665.9978152366427,22.282196070469773,small
Montage_50,MOEA/D,cost_best,6125.704410769229,1524.6407465647142,7773.825777692307,1327.1578140224644,21.20090434303932,small
Montage_50,MOEA/D,energy_best,24100917.10769231,275706.3732675669,21432896.692307692,16585.461516876676,-12.448249313599193,small
Montage_50,QL-NSGA-III,hv,0.5570680060089728,0.017242398936317804,0.5461030779912637,0.02728549886681741,2.0078495177213616,small
Montage_50,QL-NSGA-III,igd,0.12675752717957828,0.007447371305165928,0.1287378961158358,0.00795959790057383,1.538295246393983,small
Montage_50,QL-NSGA-III,spacing,0.06492745229539436,0.004904214915856506,0.0647868379043576,0.014322169775180721,-0.21704160225312982,small
Montage_50,QL-NSGA-III,epsilon,0.2861072221694565,0.02943619378387338,0.2608648724886301,0.03031044839081486,-9.676408111224937,small
Montage_50,QL-NSGA-III,coverage,0.2965075465075465,0.3642257639140956,0.28465608465608466,0.297807935356874,4.163431765662249,small
Montage_50,QL-NSGA-III,time,3.0289381499997035,0.042520522783629236,2.9178781500004334,0.025354515721180238,-3.806190467523587,small
Montage_50,QL-NSGA-III,makespan_best,4545.428973021334,22.93363238781804,4654.397922286658,45.324902311741006,2.341203977071838,small
Montage_50,QL-NSGA-III,latency_best,33460.55898427584,0.0,37725.46494550781,738.2178298369845,11.30511172597176,small
Montage_50,QL-NSGA-III,cost_best,6125.704410769229,1524.6407465647142,7231.150357692308,246.3336764846686,15.287276466975056,small
Montage_50,QL-NSGA-III,energy_best,24100917.10769231,275706.3732675669,23732366.78115385,470747.0976893163,-1.5529438337820085,small
CyberShake_30,NSGA-III,hv,0.8963064292913685,0.02184993257567622,0.8622010311364934,0.03611273151181657,3.9556202003052308,small
CyberShake_30,NSGA-III,igd,0.07987604165751411,0.004128778699401151,0.09194809097741201,0.012832176957604382,13.129200608268771,small
