benchmark,algorithm,run,generation,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,ADARE,1,0,11270.597154203726,58614.14677041166,7351.765364615384,35177771.085384615
CyberShake_30,ADARE,1,1,11270.597154203726,58614.14677041166,7351.765364615384,34203509.300000004
CyberShake_30,ADARE,1,2,11270.597154203726,55130.380776640624,7078.559979999999,33722711.992307685
CyberShake_30,ADARE,1,3,11270.597154203726,55130.380776640624,7019.701133846153,33054623.115384605
CyberShake_30,ADARE,1,4,11270.597154203726,54861.78516652043,6375.13151846154,33054623.115384605
CyberShake_30,ADARE,1,5,11270.597154203726,54847.07362805889,4498.093826153847,33054623.115384605
CyberShake_30,ADARE,1,6,11232.347154203726,54847.07362805889,4498.093826153847,33054623.115384605
CyberShake_30,ADARE,1,7,11232.347154203726,54847.07362805889,3618.2676723076925,33054623.115384605
CyberShake_30,ADARE,1,8,11232.347154203726,54847.07362805889,3618.2676723076925,33054623.115384605
CyberShake_30,ADARE,1,9,11232.347154203726,54847.07362805889,2414.3572876923076,32669485.423076916
CyberShake_30,ADARE,1,10,11232.347154203726,53887.54140173076,2414.3572876923076,32669485.423076916
CyberShake_30,ADARE,1,11,10853.291500000001,53887.54140173076,2413.332672307692,32669485.423076916
CyberShake_30,ADARE,1,12,10853.291500000001,53887.54140173076,1482.9772876923078,32669485.423076916
CyberShake_30,ADARE,1,13,10853.291500000001,53887.54140173076,1482.9772876923078,32669485.423076916
CyberShake_30,ADARE,1,14,10853.291500000001,53887.54140173076,1482.9772876923078,32669485.423076916
CyberShake_30,ADARE,1,15,10853.291500000001,53887.54140173076,1482.9772876923078,32669485.423076916
CyberShake_30,ADARE,2,0,11710.069415384614,60203.67135307392,10309.757861538463,34313889.10769231
CyberShake_30,ADARE,2,1,11031.55245703125,50044.971544296866,10309.757861538463,34313889.10769231
CyberShake_30,ADARE,2,2,10870.03221153846,50044.971544296866,10309.757861538463,34313889.10769231
CyberShake_30,ADARE,2,3,10870.03221153846,50044.971544296866,10309.757861538463,34313889.10769231
CyberShake_30,ADARE,2,4,10870.03221153846,50044.971544296866,8120.086707692309,33999858.33846154
CyberShake_30,ADARE,2,5,10870.03221153846,50044.971544296866,8120.086707692309,33999858.33846154
CyberShake_30,ADARE,2,6,10870.03221153846,50044.971544296866,6630.156903076922,33999858.33846154
CyberShake_30,ADARE,2,7,10870.03221153846,50044.971544296866,5966.074595384615,33709210.42307692
CyberShake_30,ADARE,2,8,10870.03221153846,50044.971544296866,5966.074595384615,33709210.42307692
CyberShake_30,ADARE,2,9,10870.03221153846,49942.92373391225,4645.488092307692,33709210.42307692
CyberShake_30,ADARE,2,10,10870.03221153846,49942.92373391225,3483.9311338461534,33709210.42307692
CyberShake_30,ADARE,2,11,10870.03221153846,49942.92373391225,3483.9311338461534,33709210.42307692
CyberShake_30,ADARE,2,12,10870.03221153846,49942.92373391225,3483.9311338461534,33584626.03076922
CyberShake_30,ADARE,2,13,10870.03221153846,49942.92373391225,3483.9311338461534,33584626.03076922
CyberShake_30,ADARE,2,14,10870.03221153846,49942.92373391225,3480.8861338461534,33584626.03076922
CyberShake_30,ADARE,2,15,10870.03221153846,49942.92373391225,3371.420749230769,33273528.915384613
CyberShake_30,ADARE,3,0,11463.181383076922,56482.92773734375,8327.449246153848,35695995.038461536
CyberShake_30,ADARE,3,1,11463.181383076922,56482.92773734375,8327.449246153848,34396865.80769232
CyberShake_30,ADARE,3,2,11463.181383076922,56482.92773734375,7302.544246153846,34396865.80769232
CyberShake_30,ADARE,3,3,11463.181383076922,56482.92773734375,7302.544246153846,34396865.80769232
CyberShake_30,ADARE,3,4,11463.181383076922,56482.92773734375,6270.951903076924,34396865.80769232
CyberShake_30,ADARE,3,5,11463.181383076922,56482.92773734375,6270.951903076924,34396865.80769232
CyberShake_30,ADARE,3,6,10894.86342578125,53846.506280600974,6270.951903076924,33460256.57692307
CyberShake_30,ADARE,3,7,10894.86342578125,53846.506280600974,5634.9492461538475,33460256.57692307
CyberShake_30,ADARE,3,8,10894.86342578125,53846.506280600974,5634.9492461538475,33460256.57692307
CyberShake_30,ADARE,3,9,10894.86342578125,53846.506280600974,4604.34886153846,33186942.153846156
CyberShake_30,ADARE,3,10,10894.86342578125,53846.506280600974,4567.87463076923,33186942.153846156
CyberShake_30,ADARE,3,11,10894.86342578125,53846.506280600974,4567.87463076923,33186942.153846156
CyberShake_30,ADARE,3,12,10894.86342578125,53846.506280600974,4527.800399999999,33186942.153846156
CyberShake_30,ADARE,3,13,10894.86342578125,53846.506280600974,3719.445784615384,32461024.653846145
CyberShake_30,ADARE,3,14,10894.86342578125,53846.506280600974,3719.445784615384,32461024.653846145
CyberShake_30,ADARE,3,15,10894.86342578125,53846.506280600974,3677.0742461538457,32461024.653846145
CyberShake_30,ADARE,4,0,12182.582124999999,53894.68266748797,6920.953826153846,35141821.27769232
CyberShake_30,ADARE,4,1,11736.780953846153,51640.928545069095,6920.953826153846,34733522.76153847
CyberShake_30,ADARE,4,2,11736.780953846153,51640.928545069095,6850.436518461536,34733522.76153847
CyberShake_30,ADARE,4,3,11736.780953846153,51640.928545069095,6850.436518461536,34733522.76153847
CyberShake_30,ADARE,4,4,11493.961242307692,51640.928545069095,5247.299980000001,34733522.76153847
CyberShake_30,ADARE,4,5,11493.961242307692,51640.928545069095,4187.143826153846,32503520.06923077
CyberShake_30,ADARE,4,6,11493.961242307692,51640.928545069095,4187.143826153846,32503520.06923077
CyberShake_30,ADARE,4,7,11493.961242307692,51640.928545069095,4187.143826153846,32503520.06923077
CyberShake_30,ADARE,4,8,11493.961242307692,51640.928545069095,4187.143826153846,32503520.06923077
CyberShake_30,ADARE,4,9,11493.961242307692,51640.928545069095,4023.622476923076,32503520.06923077
CyberShake_30,ADARE,4,10,11493.961242307692,51640.928545069095,4023.622476923076,32503520.06923077
CyberShake_30,ADARE,4,11,11493.961242307692,51640.928545069095,4023.622476923076,32503520.06923077
CyberShake_30,ADARE,4,12,11493.961242307692,51640.928545069095,4023.622476923076,32503520.06923077
CyberShake_30,ADARE,4,13,11493.961242307692,51640.928545069095,4023.622476923076,32503520.06923077
CyberShake_30,ADARE,4,14,11493.961242307692,51640.928545069095,4010.814784615384,32503520.06923077
CyberShake_30,ADARE,4,15,11493.961242307692,51640.928545069095,2992.774595384615,32503520.06923077
CyberShake_30,ADARE,5,0,12210.3089921875,60641.2095458774,6054.518056923077,34438935.61538461
CyberShake_30,ADARE,5,1,11407.861602307692,60641.2095458774,6054.518056923077,33777863.11538461
CyberShake_30,ADARE,5,2,11407.861602307692,58040.22725790264,6054.518056923077,33777863.11538461
CyberShake_30,ADARE,5,3,11407.861602307692,56575.89206689304,5672.485364615384,33777863.11538461
