benchmark,algorithm,source_run,point,makespan,latency,cost,energy
CyberShake_30,ADARE,1,1,10853.291500000001,53990.4254378756,20704.028056923078,44571630.45384616
CyberShake_30,ADARE,1,2,11232.347154203726,61890.478755483775,19940.866133846157,44875276.607692316
CyberShake_30,ADARE,1,3,11330.87958,63932.559963440515,20644.78959538462,44560891.03076924
CyberShake_30,ADARE,1,4,11567.608291430288,62452.23832811298,18297.42805692308,41116035.453846164
CyberShake_30,ADARE,1,5,11618.628216153846,53887.54140173076,19207.609595384612,42808906.03076923
CyberShake_30,ADARE,1,6,12186.58844433594,54861.78516652043,19185.346133846153,42819204.10769231
CyberShake_30,ADARE,1,7,12665.744239257814,74101.89731634612,17923.460749230773,41246388.33846154
CyberShake_30,ADARE,1,8,12770.284432992788,77635.5327521965,17409.833056923082,41559352.95384616
CyberShake_30,ADARE,1,9,12802.607578461537,64614.13939069411,16145.844210769232,36755890.26153846
CyberShake_30,ADARE,1,10,13018.20565625,68862.78875921876,15927.623056923077,43132507.95384616
CyberShake_30,ADARE,1,11,13031.340969032452,65555.26872458534,14699.813056923078,35985292.95384616
CyberShake_30,ADARE,1,12,13031.340969032452,65778.65258588342,14687.178441538463,35958381.223076925
CyberShake_30,ADARE,1,13,13033.309719032452,72308.95532084134,14679.156903076924,35958950.646153845
CyberShake_30,ADARE,1,14,13069.879430570913,62179.29600097657,15851.09998,38290859.3
CyberShake_30,ADARE,1,15,13069.879430570913,64508.15409897236,15827.561518461538,38240722.37692308
CyberShake_30,ADARE,1,16,13306.86729,76155.51050095554,16151.319210769228,35181970.26153847
CyberShake_30,ADARE,1,17,13319.619858437498,64662.02510040263,14820.503056923078,35207490.45384616
CyberShake_30,ADARE,1,18,13415.124897460937,72728.10690322716,14286.07728769231,43302206.41538462
CyberShake_30,ADARE,1,19,13437.819608999398,66456.72163069711,13642.589980000004,41393091.8
CyberShake_30,ADARE,1,20,13733.938893846154,59154.57747898737,15661.35344153846,42511708.72307693
CyberShake_30,ADARE,1,21,13812.309155384617,69416.40275113282,12877.903826153846,36412519.49230769
CyberShake_30,ADARE,1,22,13812.309155384617,74068.09334273738,12808.619980000001,36433349.300000004
CyberShake_30,ADARE,1,23,13841.94857846154,72777.70645788462,12173.980364615385,36726905.06923077
CyberShake_30,ADARE,1,24,13863.859325411659,69369.3340319441,17076.668056923074,34608562.95384616
CyberShake_30,ADARE,1,25,13864.61653695012,66619.25446117489,16217.108056923074,34832505.45384616
CyberShake_30,ADARE,1,26,13908.885112872596,74095.45036656849,17061.956518461535,34577227.37692308
CyberShake_30,ADARE,1,27,13964.578026559497,74103.68210945313,11019.623056923081,37126245.45384615
CyberShake_30,ADARE,1,28,14163.484966153845,76830.1866794171,12229.408826153849,36577421.992307685
CyberShake_30,ADARE,1,29,14205.167658461536,78255.06852240989,11006.988441538466,37099333.72307692
CyberShake_30,ADARE,1,30,14218.835863846152,79545.16324378605,12342.079595384621,35035583.53076922
CyberShake_30,ADARE,1,31,14307.105094615383,84685.96906679988,13630.408826153849,34332866.99230769
CyberShake_30,ADARE,1,32,14354.401515625,62579.137426066714,15086.435749230768,44992030.83846153
CyberShake_30,ADARE,1,33,14411.392506234979,62684.20835351561,14554.533441538459,45703378.723076925
CyberShake_30,ADARE,1,34,14430.029170606971,81376.37515523136,11277.314980000003,35414571.800000004
CyberShake_30,ADARE,1,35,14516.02300353065,60995.916341105774,15072.335749230768,45036693.33846153
CyberShake_30,ADARE,1,36,14565.495189999998,72867.65002954626,11678.71728769231,35240118.91538461
CyberShake_30,ADARE,1,37,14565.495189999998,73576.09712675482,11644.78728769231,35220813.91538461
CyberShake_30,ADARE,1,38,14593.816103846153,89678.96408311298,12446.015749230774,34873983.33846154
