benchmark,run,algorithm,hv,igd,spacing,epsilon,coverage,time,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,1,ADARE,0.8289787364294908,0.08789123358772719,0.06380766403554915,0.11611857299750272,nan,3.32720229998813,10806.649,47939.97545463942,1482.9772876923078,32669485.423076916
CyberShake_30,1,NSGA-III,0.7624124253179079,0.11325617637066747,0.0728694846395483,0.1707776911215,0.07758620689655173,3.499048400000902,11633.63580153846,51495.06601989482,5287.228826153846,33285935.23076923
CyberShake_30,1,NSGA-II,0.728272857384107,0.11764258246293878,0.06174629602835255,0.14549314826436668,0.008620689655172414,3.0936292999977013,11270.597154203726,52524.73694057691,4723.989210769231,33162292.376923073
CyberShake_30,1,MOEA/D,0.431714151914236,0.280142211782347,0.11399256311747627,0.4099254976208206,0.0,2.935187800001586,13881.188652334735,66239.96058897534,10614.496133846156,31088355.03846153
CyberShake_30,1,QL-NSGA-III,0.7878817467356236,0.10340121488565582,0.05841162348713918,0.14438524893369944,0.12931034482758622,3.12062309999601,11270.597154203726,56036.78491048978,3827.81421076923,32605720.423076916
CyberShake_30,1,OVEA-style,0.6479033632619698,0.2541919816486196,0.05754669227892017,0.4435350060361457,0.1724137931034483,3.0697120999975596,11169.541733398439,53318.430960679085,11363.183056923077,32327807.34615384
CyberShake_30,1,QMOEA/D-AWA-style,0.1581913962830661,0.5150581442180074,0.21439183739449025,0.8296475673527051,0.0,3.052844699996058,14456.870893846155,94592.71352885819,19964.24386153846,30762051.384615373
CyberShake_30,2,ADARE,0.8021469452918609,0.10617437479575881,0.07583497100476949,0.15097735409957005,nan,3.092069400008768,10806.649,47939.97545463942,3371.420749230769,33273528.915384613
CyberShake_30,2,NSGA-III,0.8172766562039402,0.0940096238410831,0.08262713295502773,0.13951670834855429,0.1891891891891892,2.9450841000070795,10830.683326923077,52999.10520620493,3329.858056923077,32309514.84615384
CyberShake_30,2,NSGA-II,0.737174642998782,0.10965014437236133,0.05752049545906106,0.20504045546436636,0.036036036036036036,3.0275614999991376,11501.800184615384,51451.068304492175,6050.467707692307,32163707.923076913
CyberShake_30,2,MOEA/D,0.5281078528295673,0.25206174550200305,0.08047873022444171,0.40962246585642753,0.0,3.120545799989486,15580.81963788762,63257.5754663732,10607.745784615385,30844676.57692307
CyberShake_30,2,QL-NSGA-III,0.7641518267138648,0.10388357857585725,0.05532120630762491,0.17206522460424328,0.05405405405405406,2.9659689999971306,11497.42278076923,52470.97916477165,5315.90998,32315089.492307693
CyberShake_30,2,OVEA-style,0.5963323760829766,0.2823725628993086,0.09478860174850803,0.5040280860108733,0.07207207207207207,2.8372392000019317,11482.062203846153,51475.34717438701,12710.729630769234,31536965.069230765
CyberShake_30,2,QMOEA/D-AWA-style,0.2349418683057649,0.438922239631788,0.1615086657389424,0.806715102699614,0.0,2.988033200002974,15541.265207692308,76159.55658024037,19453.399246153836,31498491.961538456
CyberShake_30,3,ADARE,0.8089725197757279,0.09859385780876831,0.07277937993670368,0.12088589543124602,nan,3.073342599993339,10806.649,47939.97545463942,3677.0742461538457,32461024.653846145
CyberShake_30,3,NSGA-III,0.8102408217810362,0.09352615518528207,0.04780674808954784,0.14259971743846236,0.13333333333333333,3.025465200000326,11455.100649921875,51527.22100707934,4659.535015384617,31344595.261538457
CyberShake_30,3,NSGA-II,0.7097394663191876,0.11319503773227849,0.05902663701368611,0.1709602259403916,0.0761904761904762,3.1305263999965973,11421.62025,50154.144725006,5291.294980000001,32415046.607692298
CyberShake_30,3,MOEA/D,0.5442838125539458,0.2180139101088439,0.1570825986647534,0.37035229579107193,0.0,3.3848196000035387,14316.783632403847,64922.14836674577,9732.96170769231,30800448.49999999
