source_file,benchmark,context,operator,uses,mean_reward
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,one_point,3970,0.07058771984403867
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,two_point,3959,0.07294725177175673
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_5,3787,0.05861569401199063
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_8,4078,0.07321855427447535
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,one_point,1249,0.05920348170025986
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,two_point,1166,0.05785292662243782
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_5,1151,0.04453429051596473
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_8,1159,0.06342424873864434
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,one_point,1078,0.05107441015030105
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,two_point,1049,0.054249972526861326
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_5,989,0.0384491965249525
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_8,1003,0.05224129036999478
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,one_point,3912,0.053003845707656407
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,two_point,4035,0.05107395570650433
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_5,3528,0.03744691658085418
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_8,3933,0.053050367118306976
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,one_point,2057,0.05209450974967848
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,two_point,2336,0.05168625450758666
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_5,2029,0.03714338715251692
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_8,2282,0.05331607005156017
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,one_point,2879,0.05206129847925056
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,two_point,2811,0.054474962011765105
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_5,2500,0.037451107724612305
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_8,2715,0.054919287536821286
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,one_point,4296,0.09129284048190439
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,two_point,4390,0.0943137495467453
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,uniform_0_5,3456,0.0650650726757949
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,uniform_0_8,3978,0.08134384807105673
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,one_point,1084,0.0842442220392698
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,two_point,1120,0.08470313833436632
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,uniform_0_5,971,0.059480060110312004
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,uniform_0_8,1075,0.07431574154828478
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,one_point,1512,0.0778990888135313
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,two_point,1476,0.07945013542472656
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,uniform_0_5,1337,0.05024463135615374
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,uniform_0_8,1387,0.06469190255034504
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,one_point,3656,0.07756625719837444
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,two_point,3684,0.07811943800070098
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,uniform_0_5,3124,0.04981594004854621
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,uniform_0_8,3420,0.06204357798762729
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,one_point,2496,0.08008662366032936
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,two_point,2508,0.08654481403400965
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,uniform_0_5,2025,0.05492929688548019
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,uniform_0_8,2220,0.06725944850269268
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,one_point,2660,0.08000186096575793
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,two_point,2805,0.08345973282360178
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,uniform_0_5,2337,0.05493907966410945
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,uniform_0_8,2520,0.0683357270436574
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,one_point,5104,0.06191261110804032
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,two_point,4907,0.05554777815141043
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,uniform_0_5,4055,0.03998877324387937
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,uniform_0_8,4642,0.050677795746944296
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,one_point,436,0.04723695462919348
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,two_point,436,0.03981273491364735
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,uniform_0_5,392,0.009623143080350125
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,uniform_0_8,408,0.030825720362867067
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,one_point,1857,0.03888588579228064
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,two_point,1908,0.03441999367829716
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,uniform_0_5,1680,0.011790687111755817
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,uniform_0_8,1704,0.02876810231646616
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,one_point,3383,0.03864448344913926
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,two_point,3175,0.030511922908410094
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,uniform_0_5,2899,0.010644949510629605
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,uniform_0_8,2961,0.026740159526493355
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,one_point,2699,0.042913325664005214
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,two_point,2551,0.03411577122102942
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,uniform_0_5,2062,0.009731865987088818
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,uniform_0_8,2447,0.029208612501630024
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,one_point,2661,0.0427171410785823
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,two_point,2553,0.03385929552361769
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,uniform_0_5,2174,0.012679496149704437
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,uniform_0_8,2382,0.03197890450903499
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,one_point,4261,0.07068446226677745
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,two_point,4060,0.07361652486409741
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_5,3729,0.0612745599289276
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_8,4261,0.07361768572698943
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,one_point,1012,0.05841259261068725
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,two_point,1101,0.061475148107519834
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_5,934,0.041210835953190326
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_8,1039,0.05715976922012177
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,one_point,1304,0.047891403524587324
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,two_point,1389,0.052472748610468266
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_5,1213,0.035901619884764036
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_8,1321,0.0594071428235293
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,one_point,3771,0.053233394141109405
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,two_point,3691,0.053609689343427976
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_5,3212,0.037926726089514834
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_8,3572,0.055846922500928604
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,one_point,2015,0.05411202260315785
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,two_point,1933,0.05550049938192268
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_5,1727,0.04074881421894096
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_8,1936,0.05742464282593067
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,one_point,2996,0.055361258881399034
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,two_point,3052,0.05230208975475819
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_5,2854,0.041800889621738946
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_8,3100,0.05703870205754424
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,one_point,4362,0.09083210003168307
