source_file,benchmark,algorithm,n,mean_objective_evaluations,std_objective_evaluations,median_objective_evaluations
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,20,6109.6,39.20579978577284,6105.0
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,20,5955.55,49.77895877619484,5956.0
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,20,6090.55,37.05966029327079,6092.5
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,20,6011.35,32.07766069696283,6018.5
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,20,5987.85,45.431585349494696,5988.0
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,20,5837.65,59.603315873849624,5831.5
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,20,6154.0,34.77143413175458,6156.5
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,20,5955.55,49.77895877619484,5956.0
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,20,6143.7,45.14432994647046,6138.0
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,20,6011.35,32.07766069696283,6018.5
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,20,6091.9,56.837626529207604,6094.5
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,20,5837.65,59.603315873849624,5831.5
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,20,6163.7,46.16685983872437,6160.5
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,20,5955.55,49.77895877619484,5956.0
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,20,6139.3,39.796984810409946,6146.0
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,20,6011.35,32.07766069696283,6018.5
ablation_v1_v5_r20\V4\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,20,6079.8,71.57741484427524,6082.0
ablation_v1_v5_r20\V4\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,20,5837.65,59.603315873849624,5831.5
ablation_v1_v5_r20\V5\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,20,6096.55,50.998942197492276,6101.5
ablation_v1_v5_r20\V5\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,20,5955.55,49.77895877619484,5956.0
ablation_v1_v5_r20\V5\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,20,6098.9,34.15583482556939,6091.5
ablation_v1_v5_r20\V5\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,20,6011.35,32.07766069696283,6018.5
ablation_v1_v5_r20\V5\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,20,6008.65,56.52039687721499,6012.5
ablation_v1_v5_r20\V5\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,20,5837.65,59.603315873849624,5831.5
adare_controller_traces_1000_r20_g100\CyberShake\reports\CyberShake_1000_adare_only_run_metrics.csv,CyberShake_1000,ADARE,20,7013.3,46.001258564018485,7016.5
adare_controller_traces_1000_r20_g100\Montage\reports\Montage_1000_adare_only_run_metrics.csv,Montage_1000,ADARE,20,7014.75,44.315703525357335,7012.0
