source_file,benchmark,baseline,metric,direction,adare_n,adare_mean,adare_std,adare_median,adare_iqr,baseline_mean,baseline_std,baseline_median,baseline_iqr,gain_percent,paired_improvement_mean,paired_improvement_ci95_low,paired_improvement_ci95_high,wilcoxon_one_sided_p,holm_p,rank_biserial_paired
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,cost_best,min,20,1449.318095384616,222.07779595590335,1373.875364615385,84.52759615384639,1501.661962538462,314.4395295630268,1380.3345953846158,138.19788461538474,3.4857290428640777,52.343867153846,-110.36125139807702,217.89215076346113,0.4927177429199219,1.0,0.009523809523809525
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,coverage,max,20,0.10186561695960086,0.05413717363701779,0.09376017362995118,0.05742522863008587,0.07613706090508358,0.044624213330312454,0.06726842897055663,0.03368094438223218,33.792420863988745,0.025728556054517272,-0.010722655720035666,0.06421074316008035,0.12274360656738281,1.0,0.3047619047619048
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,energy_best,min,20,31487800.031923067,322459.73451923236,31451602.82692307,443974.75961538404,31507516.811923068,374281.1604139906,31548333.707692303,398724.78461538255,0.06257801945388465,19716.779999998584,-197117.44701923287,221047.07622115215,0.3920631408691406,1.0,0.0761904761904762
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,epsilon,min,20,0.1110424938458813,0.016440262835449998,0.10659422079722539,0.025178648230859274,0.11130830316245169,0.016237859479773246,0.10963304190729899,0.01854513056001407,0.23880457164318164,0.0002658093165704291,-0.010138648306566753,0.011046204381190765,0.5218353271484375,1.0,-0.009523809523809525
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,hv,max,20,0.8842339675905484,0.014193768171782311,0.8830090700459565,0.01922929462709788,0.8890771468728973,0.008013438544914176,0.8906337615235617,0.013067039775897737,-0.544742298166537,-0.0048431792823491636,-0.01264620842159241,0.002830489830569139,0.8613224029541016,1.0,-0.2761904761904762
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,igd,min,20,0.07636660888684886,0.003342415381495458,0.07608631495121186,0.004547279469156784,0.07642950102349136,0.0031075156285583394,0.07643664871935119,0.003921997920463799,0.08228777605543611,6.289213664251239e-05,-0.0020503704169703234,0.002044849996827577,0.4491586685180664,1.0,0.0380952380952381
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,latency_best,min,20,49787.14656245733,2033.456182635342,49419.082154667965,2294.9139255183254,50020.82709535667,1444.9225639110468,50070.18038660757,1705.8723097941693,0.46716647138573214,233.68053289933815,-608.3455068670049,1002.1677366613117,0.21521663665771484,1.0,0.20952380952380953
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,makespan_best,min,20,11006.517516484375,279.1501104867014,10851.982605769232,373.1441631047164,11018.683778749099,272.10035243989597,10889.767555175782,191.76515250826196,0.11041484181792907,12.166262264723354,-134.18003561615444,164.89878073854723,0.2979097366333008,1.0,0.14285714285714285
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,spacing,min,20,0.0644826863251822,0.007370806949194885,0.0663377926328427,0.009476312314317968,0.06629252652656445,0.009162795992031193,0.065542176398414,0.010544825395551453,2.7300817998798403,0.0018098402013822542,-0.0026695911237095884,0.007130338641430974,0.5363607406616211,1.0,-0.01904761904761905
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Contextual-UCB,time,min,20,4.627886495005805,0.12835425873609765,4.609123550035292,0.0746131250198232,4.4583369700034385,0.057428193470211525,4.465034799999557,0.05865192502096761,-3.8029768979583456,-0.16954952500236686,-0.24823233402043113,-0.11203982787970745,1.0,1.0,-1.0
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,cost_best,min,20,1449.318095384616,222.07779595590335,1373.875364615385,84.52759615384639,1576.7061373846157,380.29656520346873,1390.8149800000003,249.19990384615403,8.079377569450346,127.38804199999981,-34.725130680769425,314.91617549999967,0.18413829803466797,1.0,0.23809523809523808
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,coverage,max,20,0.10946480622256634,0.06661147469742423,0.09045454545454545,0.0525194295031121,0.0761823066313585,0.04064762990950342,0.07446808510638298,0.059002429339515605,43.68796517577213,0.03328249959120783,-0.0029911957922810254,0.07332845591448088,0.09467411041259766,1.0,0.34285714285714286
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,energy_best,min,20,31487800.031923067,322459.73451923236,31451602.82692307,443974.75961538404,31429797.27384615,323528.20848821907,31463450.726923075,426970.38461538404,-0.18454703214132256,-58002.75807692371,-257388.0073557694,116881.11028846094,0.7020902633666992,1.0,-0.13333333333333333
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,epsilon,min,20,0.1110424938458813,0.016440262835449998,0.10659422079722539,0.025178648230859274,0.11552942726955169,0.013016327387243898,0.11419967120370644,0.015210177868085095,3.883801322066227,0.004486933423670428,-0.001823196267805168,0.010778170711069991,0.09467411041259766,1.0,0.34285714285714286
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,hv,max,20,0.8842339675905484,0.014193768171782311,0.8830090700459565,0.01922929462709788,0.8856973421238955,0.011725467018007358,0.8846180138927433,0.01266169508605186,-0.16522286606821524,-0.001463374533347128,-0.008466472819597446,0.006145783415344309,0.6761722564697266,1.0,-0.11428571428571428
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,igd,min,20,0.07636660888684886,0.003342415381495458,0.07608631495121186,0.004547279469156784,0.07552033583438107,0.003059998291938982,0.07600812912688903,0.003256485064395756,-1.1205896307501824,-0.0008462730524677851,-0.0024810177460783023,0.0007027229717652585,0.7509956359863281,1.0,-0.17142857142857143
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,latency_best,min,20,49787.14656245733,2033.456182635342,49419.082154667965,2294.9139255183254,50286.914795270284,1679.7693086669697,50162.52378790114,1722.9058065662466,0.9938335546088377,499.7682328129478,-501.1884568599388,1508.7047101752453,0.1649913787841797,1.0,0.2571428571428571
controller_ablation_r20_g70\CyberShake\reports\CyberShake_30_extended_pairwise_metrics.csv,CyberShake_30,Global-UCB,makespan_best,min,20,11006.517516484375,279.1501104867014,10851.982605769232,373.1441631047164,11012.125013036808,293.3910715773801,10829.471788461538,419.69530347731234,0.05092111237199531,5.6074965524332585,-151.9141564073021,165.46254497716248,0.40533748949713105,1.0,0.06432748538011696
