source_file,benchmark,event_n,run_n,pooled_spearman_rho_descriptive,mean_run_spearman_rho,median_run_spearman_rho,mean_run_rho_ci95_low,mean_run_rho_ci95_high,wilcoxon_run_rho_one_sided_p,rank_biserial_run_rho_vs_zero,positive_run_correlations,mean_reward,mean_survival_fraction
ablation_v1_v5_r20\V2\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,59655,20,0.25898683823770424,0.2589955729435477,0.2606997253364389,0.24563098395763944,0.2712076254210586,9.5367431640625e-07,1.0,20,0.05503351869965114,0.3054563741513704
ablation_v1_v5_r20\V2\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,59537,20,0.13739025826268292,0.1376775170932847,0.14273607436059776,0.13085609379057744,0.14369796390244663,9.5367431640625e-07,1.0,20,0.07448588855388447,0.3841896635705528
ablation_v1_v5_r20\V2\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,59476,20,0.3385259522478608,0.33827811386859397,0.3358259994522467,0.3256031691570222,0.3498252218310381,9.5367431640625e-07,1.0,20,0.036701933563521284,0.2980529961665209
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,59483,20,0.2540303999332141,0.2539007193493279,0.25806245946994094,0.24232344957024976,0.2654121141021046,9.5367431640625e-07,1.0,20,0.05654861707347381,0.31008019097893513
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,59413,20,0.1338751487566234,0.13427133579232076,0.13140567651052723,0.1261278513151751,0.1426412389556764,9.5367431640625e-07,1.0,20,0.07389626924448611,0.3823910591957989
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,59505,20,0.3322161861688719,0.3319270821301928,0.3392480328441364,0.3181605956026888,0.3453262924278265,9.5367431640625e-07,1.0,20,0.03748340750172169,0.2994454247542223
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,59621,20,0.24874368177312925,0.2487621696215659,0.24353471418947004,0.2374805395145624,0.2601358446848236,9.5367431640625e-07,1.0,20,0.05600274242198195,0.30844836550879723
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,59292,20,0.13273235625262403,0.13282118479549104,0.12973042735539114,0.1242520867879915,0.14114158410170533,9.5367431640625e-07,1.0,20,0.0740231159440115,0.38121500371045
ablation_v1_v5_r20\V4\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,59400,20,0.3263283754277041,0.3264228018092622,0.32005845012393486,0.31697523415640233,0.3371982956276563,9.5367431640625e-07,1.0,20,0.037281318795694345,0.3002693602693603
ablation_v1_v5_r20\V5\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,59461,20,0.25314988302190167,0.25283079891486915,0.2624455090565099,0.23859748877192954,0.26604284654605637,9.5367431640625e-07,1.0,20,0.05726183968377318,0.3098249272632482
